keys,zh_CN,ja,ko,en
"KataGo人类模仿棋模型或分析配置无效，请先打开设置检查。","KataGo人类模仿棋模型或分析配置无效，请先打开设置检查。","KataGo 人間模倣対局モデルまたは解析設定が無効です。設定を確認してください。","KataGo 인간 모방 바둑 모델 또는 분석 설정이 올바르지 않습니다. 설정을 확인하세요.","The KataGo human-like-play model or analysis configuration is invalid. Check Settings first."
"全选文本","全选","すべて選択","모두 선택","Select all"
"复制文本","复制","コピー","복사","Copy"
"剪切文本","剪切","切り取り","잘라내기","Cut"
"粘贴文本","粘贴","貼り付け","붙여넣기","Paste"
"保存人类模仿棋设置","保存人类模仿棋设置","人間模倣対局の設定を保存","인간 모방 바둑 설정 저장","Save human-like-play settings"
"当前选择的人类模仿棋模型路径尚未保存。是否保存设置并继续性能检测？","当前选择的人类模仿棋模型路径尚未保存。是否保存设置并继续性能检测？","選択中の人間模倣対局モデルのパスはまだ保存されていません。設定を保存して性能テストを続行しますか？","선택한 인간 모방 바둑 모델 경로가 아직 저장되지 않았습니다. 설정을 저장하고 성능 테스트를 계속하시겠습니까?","The selected human-like-play model path has not been saved. Save the settings and continue the performance test?"
"保存并继续","保存并继续","保存して続行","저장하고 계속","Save and continue"
"人类模仿棋模型无效","人类模仿棋模型无效","人間模倣対局モデルが無効です","인간 모방 바둑 모델이 유효하지 않습니다","Invalid human-like-play model"
"请先选择有效的人类模仿棋模型文件。","请先选择有效的人类模仿棋模型文件。","有効な人間模倣対局モデルファイルを先に選択してください。","먼저 유효한 인간 모방 바둑 모델 파일을 선택하세요.","Select a valid human-like-play model file first."
"人类模仿棋模型文件不存在或无法读取，请重新选择有效路径。","人类模仿棋模型文件不存在或无法读取，请重新选择有效路径。","人間模倣対局モデルファイルが存在しないか読み取れません。有効なパスを選び直してください。","인간 모방 바둑 모델 파일이 없거나 읽을 수 없습니다. 유효한 경로를 다시 선택하세요.","The human-like-play model file does not exist or cannot be read. Select a valid path again."
"人类模仿棋模型路径未能保存，请检查设置后重试。","人类模仿棋模型路径未能保存，请检查设置后重试。","人間模倣対局モデルのパスを保存できませんでした。設定を確認して再試行してください。","인간 모방 바둑 모델 경로를 저장하지 못했습니다. 설정을 확인한 후 다시 시도하세요.","The human-like-play model path could not be saved. Check the settings and try again."
"正在准备人类模仿棋端到端性能检测…","正在准备人类模仿棋端到端性能检测…","人間模倣対局をエンドツーエンドで性能測定する準備をしています…","인간 모방 바둑의 종단 간 성능 측정을 준비하는 중…","Preparing the end-to-end human-like-play benchmark…"
"检测会同时运行主分析模型和 Human SL 模型。","检测会同时运行主分析模型和 Human SL 模型。","測定ではメイン解析モデルと Human SL モデルを同時に実行します。","측정 중 기본 분석 모델과 Human SL 모델을 함께 실행합니다.","The benchmark runs the main analysis model and Human SL model together."
"正在测试仿人配置：%d线程，批量%d…","正在测试仿人配置：%d线程，批量%d…","人間模倣設定を測定中：%d スレッド、バッチ %d…","인간 모방 설정 측정 중: %d스레드, 배치 %d…","Testing human-like-play configuration: %d threads, batch %d…"
"推荐仿人配置：%d线程，批量%d，单次选点%.3f秒","推荐仿人配置：%d线程，批量%d，单次选点%.3f秒","推奨人間模倣設定：%d スレッド、バッチ %d、1手 %.3f 秒","권장 인간 모방 설정: %d스레드, 배치 %d, 한 수당 %.3f초","Recommended human-like-play configuration: %d threads, batch %d, %.3f s per move"
"仿人棋计算量","仿人棋计算量","人間模倣対局の計算量","인간 모방 바둑 계산량","Human-play computation"
"本次按 %d visits 检测仿人棋配置。","本次按 %d visits 检测仿人棋配置。","今回は %d visits で人間模倣設定を測定します。","이번에는 %d visits로 인간 모방 설정을 측정합니다.","Testing human-like-play configurations at %d visits."
"复测候选配置：%d线程，批量%d…","复测候选配置：%d线程，批量%d…","候補設定を再測定中：%d スレッド、バッチ %d…","후보 설정 재측정 중: %d스레드, 배치 %d…","Retesting candidate configuration: %d threads, batch %d…"
"将复测最快的候选配置，以降低首次运行和设备温度的影响。","将复测最快的候选配置，以降低首次运行和设备温度的影响。","初回実行と端末温度の影響を抑えるため、最速の候補設定を再測定します。","첫 실행과 기기 온도의 영향을 줄이기 위해 가장 빠른 후보 설정을 다시 측정합니다.","Retesting the fastest candidates to reduce first-run and device-temperature bias."
"配置 %d线程、批量%d 的 OpenCL 服务异常，正在重试（%d/%d）…","配置 %d线程、批量%d 的 OpenCL 服务异常，正在重试（%d/%d）…","%d スレッド、バッチ %d の OpenCL サービスで異常が発生しました。再試行します（%d/%d）…","%d스레드, 배치 %d OpenCL 서비스에 오류가 발생했습니다. 다시 시도합니다(%d/%d)…","The OpenCL service for %d threads and batch %d failed. Retrying (%d/%d)…"
"配置 %d线程、批量%d 连续失败，已跳过并继续检测其他配置。","配置 %d线程、批量%d 连续失败，已跳过并继续检测其他配置。","%d スレッド、バッチ %d は連続して失敗したためスキップし、他の設定を測定します。","%d스레드, 배치 %d가 연속으로 실패하여 건너뛰고 다른 설정을 측정합니다.","The %d-thread, batch-%d configuration failed repeatedly. Skipping it and testing the remaining configurations."
"更新","更新","更新","업데이트","Update"
"正在检测…","正在检测…","更新を確認中…","업데이트 확인 중…","Checking…"
"检查软件更新","检查软件更新","ソフトウェアの更新を確認","소프트웨어 업데이트 확인","Check for software updates"
"当前版本：%s","当前版本：%s","現在のバージョン：%s","현재 버전: %s","Current version: %s"
"最新版本：%s","最新版本：%s","最新バージョン：%s","최신 버전: %s","Latest version: %s"
"网盘","网盘","クラウドドライブ","클라우드 드라이브","Cloud drive"
"更新说明","更新说明","更新内容","업데이트 내용","Release notes"
"无法获取","无法获取","取得できません","가져올 수 없음","Unavailable"
"无法启动更新检测（错误 %d）。","无法启动更新检测（错误 %d）。","更新確認を開始できません（エラー %d）。","업데이트 확인을 시작할 수 없습니다(오류 %d).","Unable to start the update check (error %d)."
"无法连接 GitHub 更新服务（网络结果 %d，HTTP %d）。","无法连接 GitHub 更新服务（网络结果 %d，HTTP %d）。","GitHub 更新サービスに接続できません（ネットワーク結果 %d、HTTP %d）。","GitHub 업데이트 서비스에 연결할 수 없습니다(네트워크 결과 %d, HTTP %d).","Unable to connect to the GitHub update service (network result %d, HTTP %d)."
"GitHub 更新服务返回了无法解析的数据。","GitHub 更新服务返回了无法解析的数据。","GitHub 更新サービスから解析できないデータが返されました。","GitHub 업데이트 서비스에서 해석할 수 없는 데이터를 반환했습니다.","The GitHub update service returned data that could not be parsed."
"当前版本号“%s”无法解析。","当前版本号“%s”无法解析。","現在のバージョン番号「%s」を解析できません。","현재 버전 번호 '%s'을(를) 해석할 수 없습니다.","The current version number '%s' could not be parsed."
"当前已是最新版本。","当前已是最新版本。","現在のバージョンは最新です。","현재 최신 버전입니다.","You already have the latest version."
"版本 %s","版本 %s","バージョン %s","버전 %s","Version %s"
"该版本未提供更新说明。","该版本未提供更新说明。","このバージョンには更新内容がありません。","이 버전에는 업데이트 내용이 제공되지 않았습니다.","No release notes were provided for this version."
"无法打开更新页面（错误 %d）。","无法打开更新页面（错误 %d）。","更新ページを開けません（エラー %d）。","업데이트 페이지를 열 수 없습니다(오류 %d).","Unable to open the update page (error %d)."
